% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.680316576e+01 +3.680316576e+01 -1.554683424e+01 -1.554683424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
381 +3.526094057e+01 +3.526094057e+01 -1.708905943e+01 -1.708905943e+01 -4.0030e-01 -1.2869e+00 -2.3505e+00 -1.7547e+00 +2.3289e+00 -1.5467e+00 -7.8187e-01 -2.3880e+00 +2.8715e+00 -1.9579e+00 -1.7822e+00 -4.7533e+00 +4.4919e-01 -4.3954e-01 -1.1847e+00 +3.4438e+00 +2.4188e-01 -7.4625e-01 +1.5031e+00 -9.7673e-01
404 +3.307230632e+01 +3.307230632e+01 -1.927769368e+01 -1.927769368e+01 -2.7629e-01 -3.9596e+00 -1.5215e+00 -1.3971e+00 +2.6399e+00 -1.1588e+00 -1.1545e-01 -2.1869e+00 +2.5051e+00 -2.3900e+00 -2.2584e+00 -3.3065e+00 -2.4351e-01 -1.4288e-01 -2.5007e-01 +1.8478e+00 +6.7350e-01 -6.4426e-01 +2.1650e+00 -5.1955e-01
416 +3.174959758e+01 +3.174959758e+01 -2.060040242e+01 -2.060040242e+01 -1.2682e+00 -2.7670e+00 -3.3686e+00 -4.7625e-01 +1.7640e+00 -9.6996e-01 -7.2369e-01 -2.5929e+00 +3.2699e+00 -1.2737e+00 -1.2373e+00 -4.9304e+00 -5.0756e-01 -4.1579e-01 -3.6276e-01 +2.0192e+00 +1.8648e+00 -1.0528e+00 +2.0555e+00 -3.6273e+00
418 +2.840588690e+01 +2.840588690e+01 -2.394411310e+01 -2.394411310e+01 -6.6661e-01 -2.7167e+00 -1.7495e+00 -8.7256e-01 +2.2738e+00 -1.1457e+00 -1.1210e+00 -2.0678e+00 +3.0197e+00 -2.1225e+00 -1.9559e+00 -4.3619e+00 -1.1928e-01 -3.0500e-01 -7.1991e-01 +2.5221e+00 +7.6689e-02 -1.7873e+00 +1.7033e+00 -3.2038e+00
440 +2.501187374e+01 +2.501187374e+01 -2.733812626e+01 -2.733812626e+01 -1.2075e+00 -2.3360e+00 -1.2722e+00 -1.0449e+00 +2.2844e+00 -9.8122e-01 -6.5391e-01 -2.8119e+00 +3.1042e+00 -2.7647e+00 -1.6333e+00 -4.2468e+00 +1.7269e-01 -3.2132e-01 -6.8658e-01 +2.2892e+00 -8.1604e-02 -1.5292e+00 +1.4326e+00 -2.5609e+00
453 +2.355063084e+01 +2.355063084e+01 -2.879936916e+01 -2.879936916e+01 -2.2542e-01 -3.4882e+00 -8.9285e-01 -2.3780e+00 +2.1094e+00 -7.9018e-01 +5.6489e-01 -3.8285e+00 +3.1068e+00 -2.6504e+00 -2.4104e+00 -2.7953e+00 +4.9480e-01 -4.4779e-01 +2.3685e-01 +2.1363e+00 -2.1966e+00 -1.8517e+00 +1.6310e+00 -6.4194e+00
462 +2.206871843e+01 +2.206871843e+01 -3.028128157e+01 -3.028128157e+01 -8.4548e-01 -2.3089e+00 -9.2881e-01 -9.5759e-01 +2.5096e+00 -8.2444e-01 -6.2615e-01 -2.9959e+00 +2.8111e+00 -3.0610e+00 -1.4546e+00 -3.9989e+00 +1.7373e-01 -3.5729e-01 -6.9947e-01 +1.8824e+00 -5.7189e-01 -1.3746e+00 +1.1595e+00 -4.5563e+00
482 +2.124805882e+01 +2.124805882e+01 -3.110194118e+01 -3.110194118e+01 -2.3001e+00 -1.8178e+00 +2.4104e-01 -8.1759e-01 +8.7565e-01 -1.6794e+00 -1.1088e+00 -4.4415e+00 +2.4746e+00 -4.4112e+00 -1.2770e+00 -4.2489e+00 -5.0645e-01 -7.3265e-01 -1.9405e-01 +2.0960e+00 +1.0256e-01 -1.4065e-02 +1.5100e+00 -2.3908e+00
484 +1.842277860e+01 +1.842277860e+01 -3.392722140e+01 -3.392722140e+01 -7.8007e-01 -2.4267e+00 -2.2546e-01 -1.3685e+00 +2.0606e+00 -1.1140e-01 -1.1292e+00 -3.5601e+00 +2.6869e+00 -3.5827e+00 -5.4605e-01 -4.0301e+00 +3.8183e-01 -6.1528e-01 -4.1819e-01 +1.8165e+00 -3.5189e-01 -5.7858e-01 +1.1257e+00 -4.3747e+00
492 +1.650177845e+01 +1.650177845e+01 -3.584822155e+01 -3.584822155e+01 -3.6701e-01 -2.0765e+00 +9.4906e-02 -2.4078e+00 +1.1152e+00 +1.8828e+00 -5.4430e-01 -4.0635e+00 +2.9136e+00 -4.3258e+00 +1.7228e+00 -4.0265e+00 +1.3660e+00 +4.9907e-01 +4.5481e-01 +1.3873e+00 -1.3397e+00 +3.5250e-01 +1.2456e+00 -4.9376e+00
506 +1.471825212e+01 +1.471825212e+01 -3.763174788e+01 -3.763174788e+01 -2.2660e-01 -2.4101e+00 -3.1656e-01 -3.1021e+00 +1.3970e+00 +1.0506e-02 -1.3996e+00 -3.5073e+00 +2.5807e+00 -3.5800e+00 +8.2378e-02 -2.8604e+00 +1.4618e-01 -5.4275e-01 -6.4350e-01 +1.3764e+00 -2.4482e-01 +1.1648e-01 +1.1739e+00 -4.0284e+00
510 +1.304797107e+01 +1.304797107e+01 -3.930202893e+01 -3.930202893e+01 +3.4063e-01 -1.9671e+00 -1.2406e+00 -2.1235e+00 +1.1873e+00 +1.7291e+00 -1.8996e+00 -2.7112e+00 +2.8833e+00 -3.4885e+00 +6.1669e-01 -1.5737e+00 +1.3027e+00 -1.5636e+00 -2.4237e-01 +1.9535e+00 -7.2432e-01 +1.3222e+00 +1.4968e+00 -6.2179e+00
