% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.033747614e+04 +1.033747614e+04 +9.790976136e+03 +9.790976136e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
134 +9.138903529e+03 +9.138903529e+03 +8.592403529e+03 +8.592403529e+03 +3.9126e+00 -2.6190e+00 -2.8927e+00 -1.4001e+00 +2.7811e-01 -1.7191e+00 -8.9696e-01 +8.6097e-01 -8.2403e-01 +3.1271e+00
142 +5.332219418e+03 +5.332219418e+03 +4.785719418e+03 +4.785719418e+03 +4.5143e+00 -1.4102e+00 -2.5372e+00 -2.6332e+00 +4.4492e-01 -1.7801e+00 -9.2827e-01 +9.0056e-01 -1.3995e+00 +2.7630e+00
160 +4.194809276e+03 +4.194809276e+03 +3.648309276e+03 +3.648309276e+03 +3.5586e+00 -1.8840e+00 -2.3744e+00 -1.0911e+00 +6.9382e-01 -1.8866e+00 -5.3023e-01 +1.5489e+00 -2.4856e-01 +2.3652e+00
172 +2.706522371e+03 +2.706522371e+03 +2.160022371e+03 +2.160022371e+03 +4.6815e+00 -1.1132e+00 -1.2651e+00 -4.3695e-01 +6.0251e-01 -2.1704e+00 -2.0283e+00 +1.2215e+00 -4.3892e-01 +1.5678e+00
175 +2.626743825e+03 +2.626743825e+03 +2.080243825e+03 +2.080243825e+03 +3.3899e+00 -7.5806e-01 -2.3195e+00 -2.5570e+00 +1.0196e+00 -1.6229e+00 +3.1093e-01 +1.0710e+00 -1.8831e+00 +2.5763e+00
187 +7.759992393e+02 +7.759992393e+02 +2.294992393e+02 +2.294992393e+02 +1.4002e+00 +1.1718e+00 -2.2775e+00 -1.4475e+00 +6.2781e-01 -1.6582e+00 -1.6370e-01 +1.3656e+00 -2.1479e+00 +2.3123e+00
211 +4.910757666e+02 +4.910757666e+02 -5.542423336e+01 -5.542423336e+01 +1.5016e+00 -1.7761e+00 -1.0518e+00 -2.3506e+00 +9.1319e-01 -1.5055e+00 -7.6246e-01 +6.3877e-01 -1.8424e+00 +1.4310e+00
242 +7.669720074e+00 +7.669720074e+00 -5.388302799e+02 -5.388302799e+02 +2.5679e+00 -8.1721e-01 -7.8185e-01 -1.5984e+00 +1.1741e+00 -1.8641e+00 -3.6704e-01 +1.2175e+00 -1.6176e+00 +1.4217e+00
275 +4.787089778e+00 +4.787089778e+00 -5.417129102e+02 -5.417129102e+02 +8.2284e-01 +6.0988e-02 +5.8538e-01 -1.7863e+00 +8.9944e-01 -2.3573e+00 -1.5758e+00 +9.1962e-01 -2.5538e+00 +6.4563e-01
328 +4.567226365e+00 +4.567226365e+00 -5.419327736e+02 -5.419327736e+02 +2.1072e+00 +2.1033e+00 +5.0159e-01 -1.2189e+00 +1.7199e+00 -1.6799e+00 -2.4215e-01 +1.2766e+00 -1.5469e+00 +1.8735e+00
352 +3.820009557e+00 +3.820009557e+00 -5.426799904e+02 -5.426799904e+02 +1.7977e+00 +9.0699e-01 -3.5471e-01 -2.1256e+00 +9.1799e-01 -2.5378e+00 -3.1571e-01 +1.3659e+00 -1.1549e+00 +1.6979e+00
415 +3.122297735e+00 +3.122297735e+00 -5.433777023e+02 -5.433777023e+02 +4.9566e-01 +2.9153e+00 +3.1509e-01 -2.0329e+00 +4.4372e-01 -2.3960e+00 -1.0389e+00 +2.3606e+00 -1.6078e+00 +1.9298e+00
418 +2.502503372e+00 +2.502503372e+00 -5.439974966e+02 -5.439974966e+02 +1.5619e+00 +2.9219e+00 -6.6511e-01 -2.0884e+00 +4.7504e-01 -2.4904e+00 -7.8149e-01 +2.4920e+00 -1.0786e+00 +1.8686e+00
1176 +2.449271433e+00 +2.449271433e+00 -5.440507286e+02 -5.440507286e+02 +1.4328e+00 +9.1144e-01 +2.2164e-01 -2.6800e+00 +3.9946e-01 -1.5360e+00 -2.2610e+00 +2.1567e+00 -2.0490e+00 +1.7284e+00
1496 +2.306608597e+00 +2.306608597e+00 -5.441933914e+02 -5.441933914e+02 +1.5232e+00 -1.4955e-01 +8.2364e-01 -2.4064e+00 +8.9493e-01 -1.4724e+00 -2.2198e+00 +1.3520e+00 -1.5492e+00 +2.2271e+00
1672 +2.185877449e+00 +2.185877449e+00 -5.443141226e+02 -5.443141226e+02 +1.5275e+00 -2.4894e-01 +6.5270e-01 -2.4356e+00 +1.3434e+00 -1.3901e+00 -2.2301e+00 +1.4514e+00 -1.2813e+00 +2.2752e+00
1738 +1.982788569e+00 +1.982788569e+00 -5.445172114e+02 -5.445172114e+02 +1.5459e+00 -1.8037e-01 +5.9530e-01 -2.4844e+00 +1.2675e+00 -1.3432e+00 -2.2813e+00 +1.3872e+00 -1.3148e+00 +2.3078e+00
1760 +1.911463075e+00 +1.911463075e+00 -5.445885369e+02 -5.445885369e+02 +1.5088e+00 -1.5465e-01 +5.1730e-01 -2.5220e+00 +1.2712e+00 -1.3497e+00 -2.2843e+00 +1.3460e+00 -1.3440e+00 +2.3016e+00
