% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1375 +3.078666600e+02 +3.078666600e+02 +4.104766600e+02 +4.104766600e+02 -8.3813e-01 -8.7050e-01 -6.1400e-01 +1.4893e+00 -9.0901e-01 -3.1322e+00 -1.5693e+00 -5.7890e-01 -1.1279e+00 +2.7132e+00 -2.0207e+00 +9.7204e-01 -2.1354e+00 +2.8449e+00 -1.1564e+00 -3.7327e+00 +6.3340e-01 +6.6140e-01 +2.3840e+00 -1.6598e+00
1408 +2.735120355e+02 +2.735120355e+02 +3.761220355e+02 +3.761220355e+02 +2.1513e-01 -6.9337e-01 -3.4784e-01 +1.1035e+00 -1.2718e+00 -2.4118e+00 -1.9904e+00 -1.2313e+00 -1.1071e+00 +1.2971e+00 -2.0883e+00 +7.9873e-01 -1.7239e+00 +2.8927e+00 -8.7921e-01 -2.7886e+00 +3.0772e-01 +2.9842e-01 +3.5794e+00 -1.1057e+00
1436 +2.508153183e+02 +2.508153183e+02 +3.534253183e+02 +3.534253183e+02 +1.9786e-02 -2.6855e-01 -1.0925e+00 +1.3057e+00 -3.6324e-01 -1.4191e+00 -2.6228e+00 -2.0878e+00 -9.5094e-01 +1.6634e+00 -2.5344e+00 +3.7438e-01 -1.6863e+00 +3.6034e+00 -7.2348e-01 -2.4506e+00 +5.5743e-01 -2.6361e-02 +3.3478e+00 -3.9955e-01
1604 +2.427846612e+02 +2.427846612e+02 +3.453946612e+02 +3.453946612e+02 +1.1205e+00 -3.4574e-03 -8.8764e-01 +2.5713e+00 +4.4014e-01 -2.1365e+00 -2.0445e+00 -1.7479e+00 -1.8978e+00 +7.7593e-01 -6.2426e-01 -4.8516e-01 -1.4500e+00 +4.1662e+00 -3.7462e-01 -2.3244e+00 -5.2883e-02 -7.2295e-01 +2.3215e+00 -6.5822e-01
1774 +2.349513386e+02 +2.349513386e+02 +3.375613386e+02 +3.375613386e+02 +5.5334e-01 -2.5943e-01 -1.3560e+00 +6.1859e-01 -1.2304e+00 -2.1168e+00 -2.6522e+00 -1.2121e-01 -2.0971e+00 +8.3288e-01 -8.4928e-01 -1.9819e+00 -1.9425e+00 +3.4819e+00 -5.8074e-01 -2.8514e+00 -1.9454e-01 -1.6538e+00 +2.1945e+00 +1.4467e-01
1810 +2.033656788e+02 +2.033656788e+02 +3.059756788e+02 +3.059756788e+02 +2.8798e-01 +1.4558e-01 -1.2421e+00 +8.6488e-01 -1.1875e+00 -1.1431e+00 -1.6520e+00 -6.6847e-01 -1.8684e+00 +1.2153e+00 -8.7275e-01 -1.6726e+00 -2.3691e+00 +3.8263e+00 -2.2599e-01 -1.9431e+00 -3.9189e-01 -1.5925e+00 +2.4749e+00 +3.2515e-01
1997 +1.953949883e+02 +1.953949883e+02 +2.980049883e+02 +2.980049883e+02 +3.1776e-01 +8.6519e-02 -2.3149e+00 +9.4458e-01 -1.4291e+00 -2.7705e+00 -1.5347e+00 -9.9354e-01 -1.7320e+00 +1.8116e+00 -1.3148e+00 -2.3400e+00 -2.3273e+00 +1.2726e+00 -7.9871e-02 -2.7381e+00 -1.5274e+00 -1.9247e+00 +2.2306e+00 -1.0459e-01
2165 +1.932730242e+02 +1.932730242e+02 +2.958830242e+02 +2.958830242e+02 +6.0442e-01 -1.8085e-01 -1.2154e+00 +1.7908e+00 -2.7644e+00 -1.5893e+00 -1.6270e+00 -1.7460e+00 -1.2613e+00 +1.8641e+00 -1.8975e+00 -9.4479e-01 -2.7725e+00 +1.1612e+00 +1.2091e-01 -1.2805e+00 -1.3401e+00 -2.0701e+00 +1.4297e+00 +7.0542e-01
2288 +1.850679755e+02 +1.850679755e+02 +2.876779755e+02 +2.876779755e+02 +1.5871e-01 -1.1936e-01 -1.6262e+00 +1.7349e+00 -1.6836e+00 -1.6430e+00 -9.7760e-01 -1.1979e+00 -1.0055e+00 +9.9450e-01 -1.8260e+00 -1.0531e+00 -1.8440e+00 +1.0735e+00 -1.1516e-01 -1.5589e+00 -1.3536e+00 -2.5864e+00 +1.6147e+00 +9.6031e-01
2349 +1.745018382e+02 +1.745018382e+02 +2.771118382e+02 +2.771118382e+02 +3.8623e-01 +1.9843e-01 -1.4077e+00 +1.5585e+00 -9.2098e-01 -2.2166e+00 -1.0163e+00 -1.9915e+00 -7.4678e-01 +4.5567e-01 -2.1738e+00 -1.7086e+00 -1.7183e+00 +1.1793e+00 -5.0612e-01 -9.7806e-01 -1.1859e+00 -1.9192e+00 +1.6449e+00 +4.8544e-01
2544 +1.626061912e+02 +1.626061912e+02 +2.652161912e+02 +2.652161912e+02 -6.0785e-02 +8.9461e-01 -1.6241e+00 +2.1482e+00 -2.3931e+00 -2.3166e+00 -5.7440e-01 -1.5146e+00 -5.7343e-01 +5.6769e-01 -2.1171e+00 -6.5729e-01 -1.6125e+00 +1.2897e+00 -3.7918e-01 -9.8143e-01 -1.4103e+00 -2.4427e+00 +1.6457e+00 +1.0307e+00
6265 +1.560656058e+02 +1.560656058e+02 +2.586756058e+02 +2.586756058e+02 +1.5174e+00 +2.4332e+00 -5.3070e-01 +1.2887e+00 -2.3344e-01 -8.0385e-01 -9.0513e-01 -1.3385e+00 -1.9482e+00 +2.2218e+00 -2.9867e+00 -5.6538e-01 -9.5286e-01 +1.3260e+00 -1.2969e+00 -6.8062e-02 -1.8926e+00 -2.6473e+00 -3.0041e-01 +1.8745e+00
7907 +1.416980407e+02 +1.416980407e+02 +2.443080407e+02 +2.443080407e+02 +1.4854e+00 +7.1480e-01 -2.9867e-01 +9.6835e-01 -8.2207e-01 -1.1163e+00 -2.1217e+00 -1.4136e+00 -9.4023e-01 +2.5402e+00 -1.6905e+00 -6.3787e-01 -5.6720e-01 +1.1176e+00 -1.2226e+00 +9.3649e-02 -8.6390e-01 -2.5190e+00 +1.0749e+00 +1.9787e+00
10444 +1.336245439e+02 +1.336245439e+02 +2.362345439e+02 +2.362345439e+02 +1.7497e+00 +1.4557e+00 -5.1403e-01 +1.2236e+00 -5.6782e-01 -7.7160e-01 -2.0547e+00 -1.5640e+00 -1.9667e-01 +2.6240e+00 -1.1584e+00 -1.0112e+00 -7.3802e-01 +1.0678e+00 -1.5378e+00 -3.5184e-01 -1.7264e+00 -2.6170e+00 +1.3620e+00 +2.0281e+00
10912 +1.284759560e+02 +1.284759560e+02 +2.310859560e+02 +2.310859560e+02 +1.6748e+00 +1.4179e+00 -4.9271e-01 +1.2312e+00 -6.0033e-01 -6.9151e-01 -2.0645e+00 -1.5379e+00 -1.2091e-01 +2.7507e+00 -1.1755e+00 -9.1167e-01 -7.6082e-01 +1.0769e+00 -1.5456e+00 -3.8589e-01 -1.7465e+00 -2.6060e+00 +1.4821e+00 +2.0348e+00
10997 +1.256360886e+02 +1.256360886e+02 +2.282460886e+02 +2.282460886e+02 +1.6876e+00 +1.4338e+00 -4.9002e-01 +1.2397e+00 -5.6341e-01 -6.7877e-01 -2.0553e+00 -1.5152e+00 -1.1075e-01 +2.7898e+00 -1.1828e+00 -8.9989e-01 -7.7270e-01 +1.0847e+00 -1.5352e+00 -3.9483e-01 -1.7573e+00 -2.6123e+00 +1.5211e+00 +2.0394e+00
11022 +1.204457466e+02 +1.204457466e+02 +2.230557466e+02 +2.230557466e+02 +1.6907e+00 +1.4497e+00 -4.9130e-01 +1.2334e+00 -5.7295e-01 -6.7904e-01 -2.0451e+00 -1.5346e+00 -1.2605e-01 +2.7427e+00 -1.1856e+00 -9.0142e-01 -7.7151e-01 +1.0705e+00 -1.5411e+00 -3.8281e-01 -1.7340e+00 -2.6111e+00 +1.4880e+00 +2.0247e+00
11029 +1.189600734e+02 +1.189600734e+02 +2.215700734e+02 +2.215700734e+02 +1.6911e+00 +1.4402e+00 -4.8470e-01 +1.2241e+00 -5.6191e-01 -6.8078e-01 -2.0465e+00 -1.5249e+00 -1.3225e-01 +2.7430e+00 -1.1754e+00 -9.2198e-01 -7.8222e-01 +1.0629e+00 -1.5473e+00 -3.8547e-01 -1.7049e+00 -2.6089e+00 +1.5187e+00 +2.0284e+00
11044 +1.107245409e+02 +1.107245409e+02 +2.133345409e+02 +2.133345409e+02 +1.6944e+00 +1.4472e+00 -4.8816e-01 +1.2207e+00 -5.7106e-01 -6.8168e-01 -2.0450e+00 -1.5348e+00 -1.3204e-01 +2.7479e+00 -1.1883e+00 -9.0825e-01 -7.7624e-01 +1.0647e+00 -1.5421e+00 -3.8648e-01 -1.7332e+00 -2.6129e+00 +1.4853e+00 +2.0208e+00
11088 +1.058871553e+02 +1.058871553e+02 +2.084971553e+02 +2.084971553e+02 +1.6923e+00 +1.4312e+00 -4.8383e-01 +1.2200e+00 -5.7089e-01 -6.7870e-01 -2.0545e+00 -1.5349e+00 -1.3442e-01 +2.7428e+00 -1.1994e+00 -9.0272e-01 -7.8696e-01 +1.0679e+00 -1.5377e+00 -3.9823e-01 -1.7392e+00 -2.6184e+00 +1.4860e+00 +2.0161e+00
11110 +1.045257808e+02 +1.045257808e+02 +2.071357808e+02 +2.071357808e+02 +1.6898e+00 +1.4273e+00 -4.8743e-01 +1.2340e+00 -5.7610e-01 -6.8657e-01 -2.0499e+00 -1.5302e+00 -1.2608e-01 +2.7515e+00 -1.2014e+00 -8.9627e-01 -7.9113e-01 +1.0729e+00 -1.5420e+00 -3.8469e-01 -1.7363e+00 -2.6169e+00 +1.4855e+00 +2.0226e+00
11198 +1.020041804e+02 +1.020041804e+02 +2.046141804e+02 +2.046141804e+02 +1.6830e+00 +1.4312e+00 -4.8206e-01 +1.2027e+00 -5.8315e-01 -6.8415e-01 -2.0480e+00 -1.5336e+00 -1.1236e-01 +2.7484e+00 -1.1997e+00 -9.2176e-01 -7.9172e-01 +1.0662e+00 -1.5408e+00 -3.9973e-01 -1.7245e+00 -2.6090e+00 +1.4657e+00 +2.0089e+00
11418 +9.717031828e+01 +9.717031828e+01 +1.997803183e+02 +1.997803183e+02 +1.7172e+00 +1.4644e+00 -4.6704e-01 +1.2045e+00 -5.9125e-01 -6.6666e-01 -2.0413e+00 -1.5306e+00 -1.1745e-01 +2.7331e+00 -1.1912e+00 -9.1723e-01 -7.9393e-01 +1.0587e+00 -1.5405e+00 -4.1015e-01 -1.7356e+00 -2.6075e+00 +1.4618e+00 +2.0043e+00
